tx_id,qber,ch_state,mode,lat_classical,lat_proposed,overhead_ms,overhead_pct
2292,0.07170938144134954,ATTACKED,Hybrid,0.07939199986140011,0.4633660000763484,0.3839740002149483,483.6431893456233
2293,0.1214635537474688,ATTACKED,PQC-Only,0.0856940000630857,0.4762100002153602,0.3905160001522745,455.70985117369565
2294,0.3742985706726366,DEGRADED,Classical-Fallback,0.08024999988265336,0.05639200026053004,-0.023857999622123316,-29.72959458817445
2295,0.21116980808269994,DEGRADED,Classical-Fallback,0.06586199970115558,0.05504299997483031,-0.010818999726325274,-16.4267707865169
2296,0.499,DEGRADED,Classical-Fallback,0.07874399989304948,0.08238399959736853,0.0036399997043190524,4.622574049150309
2297,0.32665436303071205,DEGRADED,Classical-Fallback,0.057963000017480226,0.058708999858936295,0.0007459998414560687,1.2870276576973128
2298,0.10715103028721985,ATTACKED,Classical-Fallback,0.056615999710629694,0.047637000079703284,-0.00897899963092641,-15.859473782709866
2299,0.030276064218396154,NOISY,PQC-Only,0.05584300015470944,0.6131750001259206,0.5573319999712112,998.0337704406259
2300,0.0361951853495105,NOISY,Hybrid,0.07688599998800782,0.8108409997475974,0.7339549997595896,954.6016178160745
2301,0.057752410781102534,CLEAN,Hybrid,0.07631500011484604,0.45843499992770376,0.3821199998128577,500.71414431999915
2302,0.034935504458345104,CLEAN,Hybrid,0.09153200016953633,0.4328459999669576,0.3413139997974213,372.89035437359246
2303,0.03426551652370857,ATTACKED,Hybrid,0.07909199985078885,0.5523200002244266,0.47322800037363777,598.32600170233
2304,0.10451519280709017,ATTACKED,PQC-Only,0.07976699998835102,0.3909689999090915,0.3112019999207405,390.1387791520149
2305,0.08297205507324704,ATTACKED,PQC-Only,0.09022400035973988,0.7173530002546613,0.6271289998949214,695.0800201658554
2306,0.1680943688808902,ATTACKED,PQC-Only,0.14053600034458213,0.8878779999577091,0.747341999613127,531.7797559206957
2307,0.21986405443552867,DEGRADED,Classical-Fallback,0.1467219999540248,0.10317099986423273,-0.04355100008979207,-29.682665246819656
2308,0.33916694492207794,DEGRADED,Classical-Fallback,0.07515600009355694,0.0653800002510252,-0.009775999842531746,-13.007610610413305
2309,0.22315953503399819,DEGRADED,Classical-Fallback,0.0578510002924304,0.048456000058649806,-0.009395000233780593,-16.23999617342813
2310,0.04072242325361793,CLEAN,PQC-Only,0.056939999922178686,0.8059489996412594,0.7490089997190807,1315.4355474934493
2311,0.05452683590995898,CLEAN,Hybrid,0.08042800027396879,0.6602710000152001,0.5798429997412313,720.9466824564361
2312,0.021103128050835935,CLEAN,Hybrid,0.07911300008345279,1.2419629997566517,1.162849999673199,1469.859565996183
2313,0.0754332964567481,CLEAN,Hybrid,0.17317300034846994,1.0516180000195163,0.8784449996710464,507.26441067798237
2314,0.04302327821253916,CLEAN,Hybrid,0.1323880001109501,0.8156019998750708,0.6832139997641207,516.0694316641548
2315,0.09079382002151788,CLEAN,PQC-Only,0.13038499992035213,0.6146729997453804,0.48428799982502824,371.42922891503144
2316,0.06762494056985771,CLEAN,Hybrid,0.1805140000215033,0.9946049999598472,0.8140909999383439,450.98496506717885
2317,0.01625961149767186,CLEAN,Hybrid,0.09695300013845554,0.8634910000182572,0.7665379998798016,790.6284475829864
2318,0.02271609746176157,CLEAN,Hybrid,0.15694399962740135,0.5438390003291715,0.3868950007017702,246.51786727768658
2319,0.009958532589113642,CLEAN,Hybrid,0.08339999976669787,0.577009000153339,0.49360900038664113,591.8573162679339
2320,0.05697825547567388,NOISY,Hybrid,0.08260599997811369,0.5711339999834308,0.48852800000531715,591.3952983254869
2321,0.02580017493664293,NOISY,Hybrid,0.100577000011981,0.45931800013931934,0.35874100012733834,356.6829395235533
2322,0.013634312083629805,NOISY,Hybrid,0.08105100005195709,0.5866260003131174,0.5055750002611603,623.7739200467182
2323,0.009179732915501717,NOISY,Hybrid,0.081659999978001,0.4616709998117585,0.3800109998337575,465.3575801324168
2324,0.01860503885943932,CLEAN,Hybrid,0.0833570002214401,0.4384909998407238,0.3551339996192837,426.03980310695044
2325,0.03786315826562846,CLEAN,Hybrid,0.09395899996889057,0.628813999810518,0.5348549998416274,569.2429676973102
2326,0.01617149265492903,CLEAN,Hybrid,0.08249399979831651,0.4784999996445549,0.3960059998462384,480.042185873402
2327,0.06193420528233509,CLEAN,Hybrid,0.08082000022113789,0.458292000075744,0.3774719998546061,467.0527082674779
2328,0.0078101491142296905,CLEAN,Hybrid,0.09182500025417539,0.612441999692237,0.5206169994380616,566.9665102063406
2329,0.03285839647438725,CLEAN,Hybrid,0.0804880000941921,0.5626030001621984,0.48211500006800634,598.9899109231254
2330,0.06649614018987994,CLEAN,Hybrid,0.08102499987217016,0.9697219998088258,0.8886969999366556,1096.8182676195206
2331,0.005177380491554428,CLEAN,Hybrid,0.1443320002181281,0.793876999978238,0.6495449997601099,450.0353343530586
2332,0.01672579409110419,CLEAN,Hybrid,0.08982899998954963,0.605588999860629,0.5157599998710793,574.1575659654243
2333,0.03320825675822972,NOISY,Hybrid,0.08351699989361805,0.48786400020617293,0.4043470003125549,484.14933585689425
2334,0.07647783700624201,NOISY,Hybrid,0.09161899970422382,0.41693100001793937,0.32531200031371554,355.0704563070208
2335,0.07014552285685606,NOISY,Hybrid,0.07632100005139364,0.45130399985282565,0.374982999801432,491.3234883569699
2336,0.2518306560286847,DEGRADED,Classical-Fallback,0.07746800019958755,0.05501399982676958,-0.022454000372817973,-28.98487157919112
2337,0.16860907648387016,DEGRADED,Classical-Fallback,0.06460800022978219,0.05287199974191026,-0.011736000487871934,-18.164933825736984
2338,0.0640567536803418,ATTACKED,PQC-Only,0.06209599996509496,0.4758869999932358,0.41379100002814084,666.3730357200764
2339,0.09011319198316628,ATTACKED,PQC-Only,0.07595599981868872,0.3475950002211903,0.27163900040250155,357.62678531112647
